current_belt;gender;gi
blue belt;Male;[gameness]
brown belt;Male;[fuji,shoyoroll]
black belt;Male;[atama,brazil combat,kingz,koral,shoyoroll]
blue belt;Male;[origin]
black belt;Male;[no answer]
blue belt;Male;[atama,gameness,vulkan]
purple belt;Male;[gameness,inverted gear]
white belt;Male;[gameness]
no rank;Male;[no answer]
brown belt;Male;[no answer]
blue belt;Male;[bull terrier,tribos,vulkan]
blue belt;Male;[no answer]
white belt;Male;[atama]
brown belt;Male;[keiko,keiko raca,shoyoroll]
purple belt;Male;[fuji]
no rank;Male;[no answer]
no rank;Male;[no answer]
blue belt;Male;[inverted gear]
black belt;Male;[no answer]
purple belt;Female;[fabulous gi,fuji,rios gear]
blue belt;Female;[93 brand,tatami,venum]
blue belt;Female;[vulkan]
white belt;Male;[no answer]
white belt;Female;[no answer]
blue belt;Female;[da firma,storm]
no rank;Male;[no answer]
no rank;Female;[no answer]
blue belt;Male;[scramble,tatami]
white belt;Male;[academy / tournaments,american top team,storm]
blue belt;Male;[fuji]
white belt;Female;[megami]
white belt;Male;[no answer]
blue belt;Male;[anything]
white belt;Male;[venum]
brown belt;Male;[no answer]
brown belt;Male;[koral]
white belt;Male;[scramble]
purple belt;Male;[toro]
blue belt;Male;[atama,gameness,venum,vhts]
brown belt;Male;[gameness,keiko,keiko raca]
white belt;Male;[valor]
white belt;Male;[tatami]
white belt;Male;[atama]
brown belt;Male;[origin]
white belt;Male;[no answer]
purple belt;Male;[koral,storm,venum]
purple belt;Male;[datsusara]
no answer;Male;[no answer]
blue belt;Male;[koral,tatami]
white belt;Male;[no answer]
purple belt;Male;[origin]
white belt;Male;[kingz,shoyoroll]
white belt;Male;[kingz,lucky gi]
white belt;Male;[no answer]
purple belt;Male;[fuji]
white belt;Male;[fuji,gameness]
white belt;Male;[shoyoroll]
white belt;Male;[93 brand,atama,keiko,keiko raca]
white belt;Male;[tatami]
purple belt;Male;[flow,gameness]
blue belt;Male;[fuji,origin,tatami]
white belt;Female;[fuji]
black belt;Male;[atama,shoyoroll]
white belt;Male;[grips,tatami]
no rank;Male;[no answer]
white belt;Male;[doguera,fightwear,manto,tatami]
purple belt;Male;[manto]
blue belt;Male;[no answer]
blue belt;Male;[fuji]
white belt;Male;[venum]
white belt;Male;[no answer]
blue belt;Male;[no answer]
black belt;Male;[atama,datsusara,jaco,koral,krugans]
blue belt;Male;[tatami,war tribe]
white belt;Male;[meerkatsu,tatami]
brown belt;Male;[tatami]
white belt;Female;[atama]
white belt;Male;[padilla and sons]
