current_belt;gender;organisations
black belt;Female;[cbjjf,fight 2 win,gracie nationals,ibjjf]
purple belt;Male;[in house,naga]
purple belt;Male;[local,naga]
white belt;Male;[no answer]
blue belt;Male;[bjj tour]
white belt;Female;[no answer]
brown belt;Male;[ibjjf,smaller]
blue belt;Female;[no answer]
purple belt;Male;[grapplers quest,ibjjf,in house]
blue belt;Female;[ibjjf,us grappling]
blue belt;Male;[no answer]
blue belt;Male;[subleague]
blue belt;Female;[us grappling]
blue belt;Female;[ibjjf]
white belt;Male;[no answer]
white belt;Male;[fight 2 win]
blue belt;Male;[us grappling]
purple belt;Male;[no answer]
blue belt;Female;[no answer]
black belt;Male;[local,smaller]
brown belt;Male;[colorado super cup,fight 2 win,rmbjjf]
blue belt;Male;[no answer]
purple belt;Male;[ibjjf,naga]
blue belt;Male;[good fight]
blue belt;Female;[local,smaller,us grappling]
blue belt;Male;[naga]
brown belt;Male;[no answer]
black belt;Male;[ibjjf,naga,us grappling]
blue belt;Male;[ibjjf,naga]
black belt;Male;[no answer]
blue belt;Male;[copa,naga,new breed]
purple belt;Male;[ibjjf,naga,newbreed]
white belt;Male;[copa,naga]
no rank;Male;[no answer]
brown belt;Male;[good fight,grapplers quest,ibjjf,naga]
blue belt;Male;[ibjjf]
blue belt;Male;[no answer]
white belt;Male;[ibjjf]
brown belt;Male;[ibjjf,naga]
purple belt;Male;[naga]
no rank;Male;[no answer]
no rank;Male;[no answer]
blue belt;Male;[agf,copa,ibjjf,naga,newbreed]
black belt;Male;[no answer]
purple belt;Female;[good fight,grapplers quest,ibjjf]
blue belt;Female;[us grappling]
blue belt;Female;[ibjjf,naga]
white belt;Male;[no answer]
white belt;Female;[no answer]
blue belt;Female;[no answer]
no rank;Male;[local,naga,new breed]
no rank;Female;[no answer]
blue belt;Male;[ibjjf]
white belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Female;[no answer]
white belt;Male;[no answer]
blue belt;Male;[ibjjf]
white belt;Male;[no answer]
brown belt;Male;[adcc,ibjjf,smaller]
brown belt;Male;[adcc,naga]
white belt;Male;[no answer]
purple belt;Male;[ibjjf]
blue belt;Male;[ibjjf,naga]
brown belt;Male;[grapplers quest,ibjjf,naga]
white belt;Male;[no answer]
white belt;Male;[british open]
white belt;Male;[no answer]
brown belt;Male;[ibjjf,naga]
white belt;Male;[no answer]
purple belt;Male;[ibjjf]
purple belt;Male;[cfjjb,ibjjf]
no answer;Male;[good fight]
blue belt;Male;[ibjjf]
white belt;Male;[no answer]
purple belt;Male;[naga,tap cancer out]
white belt;Male;[ibjjf]
white belt;Male;[grapplers quest]
white belt;Male;[no answer]
purple belt;Male;[naga]
white belt;Male;[no answer]
white belt;Male;[agc,copa]
white belt;Male;[no answer]
white belt;Male;[no big organisation]
purple belt;Male;[ibjjf]
blue belt;Male;[good fight,naga,us grappling]
white belt;Female;[oregon open]
black belt;Male;[ibjjf]
white belt;Male;[copa]
no rank;Male;[no answer]
white belt;Male;[french wrestling federation]
purple belt;Male;[ibjjf,local]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[ibjjf]
white belt;Male;[no answer]
blue belt;Male;[no answer]
black belt;Male;[ibjjf,smaller]
blue belt;Male;[no answer]
white belt;Male;[british open]
brown belt;Male;[ibjjf,naga]
white belt;Female;[bjjbd]
white belt;Male;[no answer]
black belt;Male;[ibjjf]
white belt;Male;[ibjjf]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
brown belt;Male;[british open]
blue belt;Male;[no answer]
brown belt;Male;[naga]
