current_belt;gender;athletes
purple belt;Male;['Marcus Buchecha', 'Joao Miyao', 'Keenan Cornelius', 'Leandro Lo', 'Lucas Leite', 'Lucas Lepri', 'Marcelo Garcia', 'Mendes Bros', 'Miyao Brothers', 'Rafael Mendes', 'Roger Gracie']
blue belt;Female;['Danaher Death Squad', 'John Danaher', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros']
purple belt;Male;['Geo Martinez', 'Leandro Lo', 'Marcelo Garcia']
white belt;Male;['Garry Tonon', 'Kron Gracie', 'Mendes Bros', 'Rafael Mendes']
purple belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Marcus Almeida', 'Miyao Brothers']
white belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Roger Gracie']
white belt;Male;['Eddie Bravo', 'Leandro Lo', 'Marcelo Garcia']
white belt;Male;['Leandro Lo', 'Marcelo Garcia']
brown belt;Male;['no answer']
purple belt;Male;['Demian Maia', 'Dillon Danis', 'Josh Hinger', 'Leandro Lo']
blue belt;Female;['no answer']
no answer;Male;['Brian Ortega', 'Eddie Bravo', 'Robert Drysdale']
blue belt;Male;['Mackenzie Dern']
white belt;Male;['no answer']
white belt;Male;['André Galvão', 'Christian Graugart', 'Kit Dale', 'Kurt Osiander']
white belt;Male;['Marcus Buchecha', 'Eddie Bravo', 'Garry Tonon', 'Keenan Cornelius']
purple belt;Male;['Ryan Hall']
blue belt;Male;['no answer']
white belt;Male;['no answer']
purple belt;Male;['no answer']
white belt;Male;['Eddie Bravo']
purple belt;Male;"['Mendes Bros', 'Michelle Nicollini', 'Oliver ""Oli"" Geddes', 'Rafael Mendes']"
white belt;Male;['Garry Tonon']
white belt;Female;['no answer']
blue belt;Male;['no answer']
purple belt;Male;"['Marcus Buchecha', 'Fabrício Werdum', 'Garry Tonon', 'Leandro Lo', 'Leonardo Alcantara Vieira', 'Marcelo Garcia', 'Rodoflo Viera', 'Romero ""Jacare"" Cavalcanti', 'Ronaldo ""Jacare"" Souza']"
purple belt;Male;['Jeff Shaw']
blue belt;Male;['Alexandre Riberio', 'Clark Gracie', 'Dean Lister', 'Eddie Cummings', 'Josh Barnett', 'Keenan Cornelius', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros', 'Rafael Lovato Jr.', 'Rafael Mendes', 'Roberto Satoshi']
brown belt;Male;['Bernardo Faria', 'Leandro Lo']
purple belt;Male;['Dave Camarillo', 'Leandro Lo']
white belt;Male;['no answer']
white belt;Male;['Joao Miyao', 'Leandro Lo', 'Marcus Almeida', 'Miyao Brothers']
blue belt;Male;['Glover Teixeira', 'Jeff Glover', 'Leandro Lo']
blue belt;Female;['no answer']
white belt;Male;['Garry Tonon', 'Genki Sudo', 'Leandro Lo', 'Lucas Leite', 'Marcelo Garcia', 'Masakazu Iminari']
blue belt;Female;['no answer']
blue belt;Male;['no answer']
blue belt;Male;['Mendes Bros', 'Rickson Gracie']
white belt;Male;['Chris Haueter']
white belt;Male;['no answer']
white belt;Male;['no answer']
black belt;Male;['Matt Serra', 'Leandro Lo', 'Marcelo Garcia', 'Rodoflo Viera']
purple belt;Female;['Bill Cooper', 'Glover Teixeira', 'Jeff Glover', 'Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['Garry Tonon']
white belt;Male;['Demian Maia', 'Eddie Bravo', 'Garry Tonon', 'Geo Martinez', 'Glover Teixeira', 'Gunnar Nelson', 'Jeff Glover', 'Kron Gracie', 'Leandro Lo', 'Nathan Orchard', 'Renzo Gracie', 'Richie Martinez', 'Rickson Gracie']
blue belt;Male;['no answer']
white belt;Male;['no answer']
black belt;Male;['Marcus Buchecha', 'Leandro Lo', 'Marcelo Garcia', 'Robert Drysdale']
blue belt;Male;['Dominyka Obelenyte', 'Leandro Lo', 'Nathan Orchard']
brown belt;Male;['Glover Teixeira', 'Jeff Glover', 'Leandro Lo']
blue belt;Male;"['Marcus Buchecha', 'Dean Lister', 'Eddie Cummings', 'Garry Tonon', 'Geo Martinez', 'Glover Teixeira', 'Jeff Glover', 'Kron Gracie', 'Leandro Lo', 'Mendes Bros', 'Rafael Mendes', 'Roberto ""Cyborg"" Abreu']"
blue belt;Male;['Garry Tonon', 'Gordon Ryan', 'Leandro Lo', 'Marcelo Garcia', 'Ryan Hall']
blue belt;Male;['no answer']
blue belt;Male;['Erberth Santos', 'Leandro Lo', 'Miyao Brothers', 'Nicholas Meregali']
purple belt;Male;['no answer']
white belt;Male;['Marcus Buchecha', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros', 'Roger Gracie']
white belt;Male;['Garry Tonon', 'Keenan Cornelius', 'Leandro Lo', 'Marcelo Garcia']
purple belt;Male;"['André Galvão', 'Bernardo Faria', 'Marcus Buchecha', 'Eduardo Telles', 'Kurt Osiander', 'Roberto ""Cyborg"" Abreu', 'Rodoflo Viera', 'Royce Gracie']"
no rank;Male;['Keenan Cornelius', 'Leandro Lo', 'Marcelo Garcia']
blue belt;Male;"['Marcus Buchecha', 'Gabrielle ""Gabi"" Garcia', 'Kurt Osiander', 'Marcus ""Buchecha"" Almeida']"
blue belt;Male;['no answer']
blue belt;Male;['Clark Gracie', 'Mendes Bros']
white belt;Male;['no answer']
blue belt;Male;['Marcus Buchecha', 'Dillon Danis', 'Gezary Matuda', 'Gianni Grippo', 'Leandro Lo', 'Mendes Bros', 'Rafael Mendes']
brown belt;Male;['no answer']
purple belt;Male;['Leandro Lo', 'Saulo Ribeiro', 'Xande Ribeiro']
purple belt;Male;['no answer']
blue belt;Male;['Marcus Buchecha', 'Caio Terra']
blue belt;Male;['no answer']
no rank;Male;['Glover Teixeira', 'Jeff Glover', 'Josh Barnett', 'Leandro Lo', 'Marcelo Garcia']
white belt;Male;['Leandro Lo', 'Lucas Lepri', 'Marcelo Garcia', 'Mendes Bros']
brown belt;Male;['no answer']
white belt;Male;['Leandro Lo', 'Marcelo Garcia']
white belt;Male;['no answer']
white belt;Male;['Glover Teixeira', 'Gordon Ryan', 'Jeff Glover', 'Leandro Lo']
white belt;Male;['no answer']
white belt;Female;['Ronda Rousey']
purple belt;Male;['Leandro Lo', 'Marcelo Garcia']
white belt;Female;['Emily Kwok', 'Leandro Lo', 'Marcelo Garcia']
purple belt;Male;['André Galvão']
white belt;Male;['no answer']
purple belt;Male;['Robert Drysdale']
brown belt;Male;['no answer']
white belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Rickson Gracie']
purple belt;Male;['no answer']
white belt;Male;['Eddie Cummings', 'Garry Tonon', 'Keenan Cornelius']
no rank;Male;['Glover Teixeira', 'Jeff Glover', 'Leandro Lo', 'Marcelo Garcia']
white belt;Male;['André Galvão']
purple belt;Male;['no answer']
white belt;Male;['Jake Shields']
white belt;Female;['Marcus Buchecha']
purple belt;Male;['Keenan Cornelius']
white belt;Male;['no answer']
white belt;Male;['no answer']
purple belt;Male;['no answer']
purple belt;Male;['Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['Bernardo Faria', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['Kron Gracie', 'Leandro Lo', 'Marcelo Garcia']
purple belt;Male;['no answer']
blue belt;Male;['no answer']
white belt;Male;['Demian Maia', 'Gunnar Nelson']
white belt;Male;['no answer']
white belt;Male;['Eddie Bravo']
white belt;Male;['no answer']
white belt;Male;['no answer']
white belt;Male;"['Dillon Danis', 'Glover Teixeira', 'Jeff Glover', 'Leandro Lo', 'Wellington ""Megaton"" Dias']"
purple belt;Female;['no answer']
blue belt;Male;['Garry Tonon', 'Leandro Lo']
white belt;Male;['no answer']
white belt;Male;['Glover Teixeira', 'Jeff Glover', 'Leandro Lo', 'Marcelo Garcia']
